Tanggal,Kab/Kota,Harga
2021-03-29,Kab. Sampang,
2021-03-29,Kab. Sidoarjo,10300
2021-03-29,Kab. Situbondo,10500
2021-03-29,Kab. Sumenep,10500
2021-03-29,Kab. Trenggalek,10000
2021-03-29,Kab. Tuban,9500
2021-03-29,Kab. Tulungagung,9500
2021-03-29,Kota Batu,11100
2021-03-29,Kota Blitar,10500
2021-03-29,Kota Kediri,9500
2021-03-29,Kota Madiun,10000
2021-03-29,Kota Malang,10500
2021-03-29,Kota Mojokerto,11000
2021-03-29,Kota Pasuruan,11000
2021-03-29,Kota Probolinggo,10000
2021-03-29,Kota Surabaya,10500
2021-03-30,Kab. Bangkalan,11000
2021-03-30,Kab. Banyuwangi,10000
2021-03-30,Kab. Blitar,9500
2021-03-30,Kab. Bojonegoro,10000
2021-03-30,Kab. Bondowoso,10500
2021-03-30,Kab. Gresik,10600
2021-03-30,Kab. Jember,11000
2021-03-30,Kab. Jombang,9500
2021-03-30,Kab. Kediri,9100
2021-03-30,Kab. Lamongan,10000
2021-03-30,Kab. Lumajang,10500
2021-03-30,Kab. Madiun,9750
2021-03-30,Kab. Magetan,10000
2021-03-30,Kab. Malang,
2021-03-30,Kab. Mojokerto,9300
2021-03-30,Kab. Nganjuk,9300
2021-03-30,Kab. Ngawi,
2021-03-30,Kab. Pacitan,9000
2021-03-30,Kab. Pamekasan,11000
2021-03-30,Kab. Pasuruan,10500
2021-03-30,Kab. Ponorogo,11000
2021-03-30,Kab. Probolinggo,9600
2021-03-30,Kab. Sampang,10500
2021-03-30,Kab. Sidoarjo,11000
2021-03-30,Kab. Situbondo,10500
2021-03-30,Kab. Sumenep,10500
2021-03-30,Kab. Trenggalek,10000
2021-03-30,Kab. Tuban,9500
2021-03-30,Kab. Tulungagung,9500
2021-03-30,Kota Batu,11000
2021-03-30,Kota Blitar,10500
2021-03-30,Kota Kediri,9500
2021-03-30,Kota Madiun,10000
2021-03-30,Kota Malang,10500
2021-03-30,Kota Mojokerto,11000
2021-03-30,Kota Pasuruan,11000
2021-03-30,Kota Probolinggo,10000
2021-03-30,Kota Surabaya,10500
2021-03-31,Kab. Bangkalan,11000
2021-03-31,Kab. Banyuwangi,10000
2021-03-31,Kab. Blitar,9600
2021-03-31,Kab. Bojonegoro,10000
2021-03-31,Kab. Bondowoso,10500
2021-03-31,Kab. Gresik,10600
2021-03-31,Kab. Jember,11000
2021-03-31,Kab. Jombang,9500
2021-03-31,Kab. Kediri,9200
